metric,value
Current annual labor hours,
Loaded hourly labor cost,
Current annual labor cost,
Annual overtime or contractor cost,
Annual injury or risk cost,
Robot purchase price,
Installation and integration cost,
Annual service and maintenance cost,
Annual software or subscription cost,
Expected robot useful life years,
Expected annual labor hours avoided,
Expected annual productivity value,
Estimated annual net benefit,
Estimated payback period years,
